END_MV,FLOW,INCOME,GAIN_LOSS,PORTFOLIO_CODE,PORTFOLIO_NAME,PERIOD_ID,FROM_DATE,THRU_DATE,BEGIN_MV,PORT_RETURN
1225288.16,0.0,83.8,-9363.53,ALPHA,Mega-Cap Alpha,,2025-11-29,2025-12-31,1221993.62,0.0026960370
1229256.84,0.0,83.8,-5394.85,ALPHA,Mega-Cap Alpha,,2026-01-01,2026-01-30,1225606.31,0.0029785503
1178339.03,0.0,83.8,-56312.66,ALPHA,Mega-Cap Alpha,,2026-01-31,2026-02-27,1231282.77,-0.0429988475
1189887.21,0.0,83.8,-44764.48,ALPHA,Mega-Cap Alpha,,2026-02-28,2026-03-31,1238950.08,-0.0396003607
1393636.81,0.0,83.8,158985.12,ALPHA,Mega-Cap Alpha,,2026-04-01,2026-04-30,1246514.26,0.1180271696
1297755.41,0.0,83.8,63103.72,ALPHA,Mega-Cap Alpha,,2026-05-01,2026-05-29,1252841.53,0.0358496098
1229004.06,0.0,335.2,-5899.03,BALANCED,Mega-Cap Balanced,,2025-11-29,2025-12-31,1226754.43,0.0018338063
1231504.33,0.0,335.2,-3398.76,BALANCED,Mega-Cap Balanced,,2026-01-01,2026-01-30,1230988.00,0.0004194436
1199426.11,0.0,335.2,-35476.98,BALANCED,Mega-Cap Balanced,,2026-01-31,2026-02-27,1236326.75,-0.0298469964
1206978.59,0.0,335.2,-27924.50,BALANCED,Mega-Cap Balanced,,2026-02-28,2026-03-31,1241787.32,-0.0280311527
1335288.72,0.0,335.2,100385.63,BALANCED,Mega-Cap Balanced,,2026-04-01,2026-04-30,1248172.16,0.0697953077
1274148.08,0.0,335.2,39244.99,BALANCED,Mega-Cap Balanced,,2026-05-01,2026-05-29,1254906.40,0.0153331595
1232054.69,0.0,670.4,-3183.6,INCOME,Mega-Cap Income,,2025-11-29,2025-12-31,1231100.76,0.0007748594
1233404.04,0.0,670.4,-1834.25,INCOME,Mega-Cap Income,,2026-01-01,2026-01-30,1234382.21,-0.0007924369
1216091.98,0.0,670.4,-19146.31,INCOME,Mega-Cap Income,,2026-01-31,2026-02-27,1238494.34,-0.0180883830
1220113.57,0.0,670.4,-15124.72,INCOME,Mega-Cap Income,,2026-02-28,2026-03-31,1242672.58,-0.0181536234
1289593.23,0.0,670.4,54354.94,INCOME,Mega-Cap Income,,2026-04-01,2026-04-30,1247308.27,0.0339009698
1256361.55,0.0,670.4,21123.26,INCOME,Mega-Cap Income,,2026-05-01,2026-05-29,1252054.81,0.0034397376
